category_id,category_title,category_slug,sub_category,title,slug,unit,unit_name,rating,price
113,"Молоко, сыр, яйца",moloko-syr-ajca,Молоко,"Молоко пастеризованное Домик в деревне 2.5%, 930мл",moloko-pasterizovannoe-domik-v-derevne-2-5-930ml,1,шт,492,6999
113,"Молоко, сыр, яйца",moloko-syr-ajca,Молоко,"Молоко ультрапастеризованное Домик в деревне 3.2%, 925мл",moloko-ultrapasterizovannoe-domik-v-derevne-3-2-925ml,1,шт,492,8999
113,"Молоко, сыр, яйца",moloko-syr-ajca,Молоко,"Молоко пастеризованное Домик в деревне 3.7%, 930мл",moloko-pasterizovannoe-domik-v-derevne-3-7-930ml,1,шт,492,8999
113,"Молоко, сыр, яйца",moloko-syr-ajca,Молоко,"Молоко ультрапастеризованное Домик в деревне 2.5%, 950мл",moloko-ultrapasterizovannoe-domik-v-derevne-2-5-950ml,1,шт,494,8499
113,"Молоко, сыр, яйца",moloko-syr-ajca,Молоко,"Молоко питьевое ультрапастеризованное 3.2% Молочный знак, 973мл",moloko-pitevoe-ultrapasterizovannoe-3-2-molocnyj-znak-973ml,1,шт,481,6299
113,"Молоко, сыр, яйца",moloko-syr-ajca,Молоко,"Молоко детское ультрапастеризованное 3.2% Сарафаново, 970мл",moloko-detskoe-ultrapasterizovannoe-3-2-sarafanovo-970ml,1,шт,491,8599
113,"Молоко, сыр, яйца",moloko-syr-ajca,Молоко,"Молоко питьевое ультрапастеризованное 2.5% Молочный знак, 973мл",moloko-pitevoe-ultrapasterizovannoe-2-5-molocnyj-znak-973ml,1,шт,476,5999
113,"Молоко, сыр, яйца",moloko-syr-ajca,Молоко,"Молоко Экомилк цельное отборное пастеризованное 3.4-4.5%, 900мл",moloko-ekomilk-celnoe-otbornoe-pasterizovannoe-3-4-4-5-900ml,1,шт,492,6999
113,"Молоко, сыр, яйца",moloko-syr-ajca,Сыр,"Сыр Ламбер Традиционный 50%, 230г",syr-lamber-tradicionnyj-50-230g,1,шт,490,26999
113,"Молоко, сыр, яйца",moloko-syr-ajca,Сыр,"Сыр Arla Natura Сливочный 45%, 400г",syr-arla-natura-slivocnyj-45-400g,1,шт,494,44999
113,"Молоко, сыр, яйца",moloko-syr-ajca,Сыр,"Сыр творожный Hochland Сливочный 60%, 140г",syr-tvoroznyj-hochland-slivocnyj-60-140g,1,шт,496,11999
113,"Молоко, сыр, яйца",moloko-syr-ajca,Сыр,"Сыр полутвёрдый Брест-Литовск Классический 45%, 200г",syr-polutverdyj-brest-litovsk-klassiceskij-45-200g,1,шт,489,22999
113,"Молоко, сыр, яйца",moloko-syr-ajca,Сыр,"Сыр творожный Hochland с зеленью 60%, 140г",syr-tvoroznyj-hochland-s-zelenu-60-140g,1,шт,494,12999
113,"Молоко, сыр, яйца",moloko-syr-ajca,Сыр,"Сыр Пармезан тёртый 32% Маркет Перекрёсток, 40г",syr-parmezan-tertyj-32-market-perekrestok-40g,1,шт,485,9599
113,"Молоко, сыр, яйца",moloko-syr-ajca,Сыр,"Сыр Тысяча Озёр Сливочный нарезка 50%, 125г",syr-tysaca-ozer-slivocnyj-narezka-50-125g,1,шт,487,15999
113,"Молоко, сыр, яйца",moloko-syr-ajca,Сыр,"Продукт рассольный Сиртаки Original для греческого салата 55%, 200г",produkt-rassolnyj-sirtaki-original-dla-greceskogo-salata-55-200g,1,шт,490,12999
113,"Молоко, сыр, яйца",moloko-syr-ajca,Творог,"Творог Домик в Деревне мягкий 5.5%, 170г",tvorog-domik-v-derevne-magkij-5-5-170g,1,шт,492,5499
113,"Молоко, сыр, яйца",moloko-syr-ajca,Творог,"Творог Домик в Деревне мягкий 0.1%, 170г",tvorog-domik-v-derevne-magkij-0-1-170g,1,шт,491,5499
113,"Молоко, сыр, яйца",moloko-syr-ajca,Творог,"Творог Домик в деревне традиционный 9%, 170г",tvorog-domik-v-derevne-tradicionnyj-9-170g,1,шт,490,9999
113,"Молоко, сыр, яйца",moloko-syr-ajca,Творог,"Творог Домик в деревне традиционный 9%, 340г",tvorog-domik-v-derevne-tradicionnyj-9-340g,1,шт,492,19999
113,"Молоко, сыр, яйца",moloko-syr-ajca,Творог,"Творог Домик в деревне традиционный 5%, 170г",tvorog-domik-v-derevne-tradicionnyj-5-170g,1,шт,491,9299
113,"Молоко, сыр, яйца",moloko-syr-ajca,Творог,"Творог Простоквашино 9%, 180г",tvorog-prostokvasino-9-180g,1,шт,492,8999
113,"Молоко, сыр, яйца",moloko-syr-ajca,Творог,"Творог Danone мягкий 5%, 130г",tvorog-danone-magkij-5-130g,1,шт,493,3799
113,"Молоко, сыр, яйца",moloko-syr-ajca,Творог,"Творог 9% Молочный знак, 200г",tvorog-9-molocnyj-znak-200g,1,шт,489,6499
113,"Молоко, сыр, яйца",moloko-syr-ajca,Сырки,"Сырок творожный Ростагроэкспорт с варёной сгущёнкой глазированный 15%, 45г",syrok-tvoroznyj-rostagroeksport-s-varenoj-sgusenkoj-glazirovannyj-15-45g,1,шт,490,2999
113,"Молоко, сыр, яйца",moloko-syr-ajca,Сырки,"Сырок творожный Ростагроэкспорт с ароматом ванили глазированный 20%, 45г",syrok-tvoroznyj-rostagroeksport-s-aromatom-vanili-glazirovannyj-20-45g,1,шт,488,2999
113,"Молоко, сыр, яйца",moloko-syr-ajca,Сырки,"Сырок творожный Свитлогорье с ванилином глазированный 26%, 50г",syrok-tvoroznyj-svitlogore-s-vanilinom-glazirovannyj-26-50g,1,шт,492,5624
113,"Молоко, сыр, яйца",moloko-syr-ajca,Сырки,"Сырок А.Ростагрокомплекс творожный глазированный в молочном шоколаде со сгущенкой 26%, 50г",syrok-a-rostagrokompleks-tvoroznyj-glazirovannyj-v-molocnom-sokolade-so-sgusenkoj-26-50g,1,шт,498,6665
113,"Молоко, сыр, яйца",moloko-syr-ajca,Сырки,"Сырок А.Ростагрокомплекс творожный глазированный в молочном шоколаде с ванилью 26%, 50г",syrok-a-rostagrokompleks-tvoroznyj-glazirovannyj-v-molocnom-sokolade-s-vanilu-26-50g,1,шт,489,6665
113,"Молоко, сыр, яйца",moloko-syr-ajca,Сырки,"Сырок Ростагроэкспорт с ванилином глазированный 5%, 45г",syrok-rostagroeksport-s-vanilinom-glazirovannyj-5-45g,1,шт,485,2999
